isced11;Country;Year;value
ED0-2;E34;2008;34.7
ED0-2;E34;2009;34.3
ED0-2;E34;2010;34.8
ED0-2;E34;2011;33.8
ED0-2;E34;2012;31.4
ED0-2;E34;2013;34.2
ED0-2;E34;2014;29.8
ED0-2;E34;2015;28.5
ED0-2;E34;2016;28.4
ED0-2;E34;2017;25.1
ED0-2;E34;2018;24.8
ED0-2;E34;2019;25.4
ED0-2;E35;2005;36.4
ED0-2;E35;2006;37
ED0-2;E35;2007;34.2
ED0-2;E35;2008;34.2
ED0-2;E35;2009;32.5
ED0-2;E35;2010;32.5
ED0-2;E35;2011;33.7
ED0-2;E35;2012;30.7
ED0-2;E35;2013;32
ED0-2;E35;2014;30.2
ED0-2;E35;2015;27.8
ED0-2;E35;2016;27.8
ED0-2;E35;2017;27
ED0-2;E35;2018;26.8
ED0-2;E35;2019;28.4
ED0-2;G;2005;33.4
ED0-2;G;2006;30.6
ED0-2;G;2007;28.7
ED0-2;G;2008;28.3
ED0-2;G;2009;27.6
ED0-2;G;2010;25.1
ED0-2;G;2011;24
ED0-2;G;2012;23
ED0-2;G;2013;22.1
ED0-2;G;2014;22.6
ED0-2;G;2015;22.2
ED0-2;G;2016;21.9
ED0-2;G;2017;21.4
ED0-2;G;2018;21.5
ED0-2;G;2019;21.9
ED0-2;G3;2005;35.9
ED0-2;G3;2006;33.8
ED0-2;G3;2007;32.3
ED0-2;G3;2008;31.8
ED0-2;G3;2009;31.2
ED0-2;G3;2010;28.9
ED0-2;G3;2011;27.9
ED0-2;G3;2012;26.9
ED0-2;G3;2013;25.8
ED0-2;G3;2014;26.6
ED0-2;G3;2015;25.9
ED0-2;G3;2016;25.7
ED0-2;G3;2017;25.5
ED0-2;G3;2018;25.7
ED0-2;G3;2019;26.1
ED0-2;G31;2005;32.4
ED0-2;G31;2006;29.1
ED0-2;G31;2007;27.5
ED0-2;G31;2008;26.9
ED0-2;G31;2009;26.4
ED0-2;G31;2010;24.2
ED0-2;G31;2011;24.2
ED0-2;G31;2012;23.9
ED0-2;G31;2013;22.2
ED0-2;G31;2014;23.3
ED0-2;G31;2015;23.9
ED0-2;G31;2016;25.5
ED0-2;G31;2017;25.8
ED0-2;G31;2018;24.3
ED0-2;G31;2019;26.3
ED0-2;G32;2005;35.6
ED0-2;G32;2006;33.8
ED0-2;G32;2007;30.6
ED0-2;G32;2008;30.2
ED0-2;G32;2009;30.4
ED0-2;G32;2010;29.6
ED0-2;G32;2011;28.4
ED0-2;G32;2012;26.5
ED0-2;G32;2013;26.2
ED0-2;G32;2014;27.2
ED0-2;G32;2015;25.2
ED0-2;G32;2016;24
ED0-2;G32;2017;24.6
ED0-2;G32;2018;23.4
ED0-2;G32;2019;20.5
ED0-2;G33;2005;37.6
ED0-2;G33;2006;35.6
ED0-2;G33;2007;34.7
ED0-2;G33;2008;34
ED0-2;G33;2009;33.1
ED0-2;G33;2010;30.4
ED0-2;G33;2011;29
ED0-2;G33;2012;28.2
ED0-2;G33;2013;26.4
ED0-2;G33;2014;27.1
ED0-2;G33;2015;25.9
ED0-2;G33;2016;25.8
ED0-2;G33;2017;25.9
ED0-2;G33;2018;27.5
ED0-2;G33;2019;28
ED0-2;G34;2005;37.5
ED0-2;G34;2006;35.8
ED0-2;G34;2007;35.3
ED0-2;G34;2008;35.2
ED0-2;G34;2009;33.8
ED0-2;G34;2010;30.5
ED0-2;G34;2011;29.2
ED0-2;G34;2012;28.1
ED0-2;G34;2013;27.6
ED0-2;G34;2014;27.9
ED0-2;G34;2015;27.9
ED0-2;G34;2016;27
ED0-2;G34;2017;25.7
ED0-2;G34;2018;26.9
ED0-2;G34;2019;28.5
ED0-2;G4;2005;30.6
ED0-2;G4;2006;27.2
ED0-2;G4;2007;24.8
ED0-2;G4;2008;24.7
ED0-2;G4;2009;23.8
ED0-2;G4;2010;21.4
ED0-2;G4;2011;20.1
ED0-2;G4;2012;19.1
ED0-2;G4;2013;18.5
ED0-2;G4;2014;18.7
ED0-2;G4;2015;18.6
ED0-2;G4;2016;18.3
ED0-2;G4;2017;17.4
ED0-2;G4;2018;17.5
ED0-2;G4;2019;17.8
ED0-2;G41;2005;22.4
ED0-2;G41;2006;19.9
ED0-2;G41;2007;18.6
ED0-2;G41;2008;17.9
ED0-2;G41;2009;17.4
ED0-2;G41;2010;15.1
ED0-2;G41;2011;13.5
ED0-2;G41;2012;12.6
ED0-2;G41;2013;12.7
ED0-2;G41;2014;13.3
ED0-2;G41;2015;13.2
ED0-2;G41;2016;13.2
ED0-2;G41;2017;12.3
ED0-2;G41;2018;11.9
ED0-2;G41;2019;12.3
ED0-2;G42;2005;42
ED0-2;G42;2006;37.4
ED0-2;G42;2007;33.6
ED0-2;G42;2008;34.1
ED0-2;G42;2009;32.8
ED0-2;G42;2010;30.6
ED0-2;G42;2011;29.9
ED0-2;G42;2012;28.7
ED0-2;G42;2013;27.1
ED0-2;G42;2014;27
ED0-2;G42;2015;26.7
ED0-2;G42;2016;26.1
ED0-2;G42;2017;25.1
ED0-2;G42;2018;26.1
ED0-2;G42;2019;26.3
