Year;Country;Genre;ISCED11;Percentage;Employment Rate
2010;EL;M;ED0-2;40.5;76
2010;ES;F;ED0-2;46.2;56.3
2010;ES;M;ED0-2;50;69.2
2010;FI;F;ED0-2;21.6;71.5
2010;FI;M;ED0-2;25.7;74.5
2010;FR;F;ED0-2;32.4;64.3
2010;FR;M;ED0-2;31.4;73.6
2010;HR;F;ED0-2;28.7;56.4
2010;HR;M;ED0-2;22.1;67.9
2010;HU;F;ED0-2;26.3;54.6
2010;HU;M;ED0-2;22.5;65.5
2010;IE;F;ED0-2;27;61.1
2010;IE;M;ED0-2;32.8;69.9
2010;IT;F;ED0-2;45.1;49.5
2010;IT;M;ED0-2;47.4;72.7
2010;LT;F;ED0-2;15.5;65
2010;LT;M;ED0-2;18.9;63.5
2010;LU;F;ED0-2;31;62
2010;LU;M;ED0-2;26.8;79.2
2010;LV;F;ED0-2;15.9;64.5
2010;LV;M;ED0-2;23.5;64
2010;MT;F;ED0-2;61.5;41.6
2010;MT;M;ED0-2;59.1;78.2
2010;NL;F;ED0-2;32.5;69.8
2010;NL;M;ED0-2;31.1;82.5
2010;PL;F;ED0-2;17.6;57.3
2010;PL;M;ED0-2;18.4;71.3
2010;PT;F;ED0-2;64.1;65.6
2010;PT;M;ED0-2;70.7;75.4
2010;RO;F;ED0-2;34.1;56.5
2010;RO;M;ED0-2;27.1;73.1
2010;SE;F;ED0-2;24.8;75
2010;SE;M;ED0-2;25.2;81.1
2010;SI;F;ED0-2;22.2;66.5
2010;SI;M;ED0-2;19.7;74
2010;SK;F;ED0-2;17.5;57.4
2010;SK;M;ED0-2;15;71.9
2011;AT;F;ED0-2;26.6;69.2
2011;AT;M;ED0-2;19.5;79.2
2011;BE;F;ED0-2;30.7;61.5
2011;BE;M;ED0-2;33;73
2011;BG;F;ED0-2;23.9;59.8
2011;BG;M;ED0-2;24.1;66
2011;CY;F;ED0-2;27.5;67.7
2011;CY;M;ED0-2;29.2;79.6
2011;CZ;F;ED0-2;16;61.7
2011;CZ;M;ED0-2;11.8;79.9
2011;DE;F;ED0-2;19.7;71.3
2011;DE;M;ED0-2;16.4;81.7
2011;DK;F;ED0-2;30.4;71.4
2011;DK;M;ED0-2;31.3;78.3
2011;EE;F;ED0-2;14.9;67.8
2011;EE;M;ED0-2;20.6;73.5
2011;EL;F;ED0-2;35.1;48.7
2011;EL;M;ED0-2;39.1;70.8
2011;ES;F;ED0-2;44.9;56.1
2011;ES;M;ED0-2;49;67.7
2011;FI;F;ED0-2;20.6;71.9
2011;FI;M;ED0-2;25.2;75.6
2011;FR;F;ED0-2;31.7;64.1
2011;FR;M;ED0-2;30.8;73.6
2011;HR;F;ED0-2;28;53.6
2011;HR;M;ED0-2;21.3;66.1
2011;HU;F;ED0-2;26.1;54.7
2011;HU;M;ED0-2;22.4;66.4
2011;IE;F;ED0-2;26.2;60.2
2011;IE;M;ED0-2;32;68.9
2011;IT;F;ED0-2;44;49.9
2011;IT;M;ED0-2;47;72.5
2011;LT;F;ED0-2;14.3;66.6
2011;LT;M;ED0-2;17.5;67.2
2011;LU;F;ED0-2;30.4;61.9
2011;LU;M;ED0-2;27.7;78.1
2011;LV;F;ED0-2;15.7;65.3
2011;LV;M;ED0-2;23.7;67.5
2011;MT;F;ED0-2;59.1;43.8
2011;MT;M;ED0-2;58.7;79
2011;NL;F;ED0-2;32.3;70.4
2011;NL;M;ED0-2;31;82.4
2011;PL;F;ED0-2;17.1;57.2
2011;PL;M;ED0-2;18;71.9
2011;PT;F;ED0-2;60.9;64.6
2011;PT;M;ED0-2;67.6;73.2
2011;RO;F;ED0-2;33.1;56.2
2011;RO;M;ED0-2;26.8;71.5
2011;SE;F;ED0-2;24;76.5
2011;SE;M;ED0-2;24.8;82.1
2011;SI;F;ED0-2;20.9;64.8
2011;SI;M;ED0-2;18.6;71.8
2011;SK;F;ED0-2;17.1;57.4
