Year;Country;Genre;ISCED11;Percentage
2014;CZ;M;ED3_4;71
2014;CZ;M;ED5_8;18.1
2014;CZ;F;ED0-2;13.9
2014;CZ;F;ED3_4;66
2014;CZ;F;ED5_8;20.1
2014;DK;M;ED0-2;30.4
2014;DK;M;ED3_4;44.3
2014;DK;M;ED5_8;25.4
2014;DK;F;ED0-2;27
2014;DK;F;ED3_4;39.4
2014;DK;F;ED5_8;33.5
2014;DE;M;ED0-2;18.6
2014;DE;M;ED3_4;55.6
2014;DE;M;ED5_8;25.8
2014;DE;F;ED0-2;20.8
2014;DE;F;ED3_4;58.7
2014;DE;F;ED5_8;20.6
2014;EE;M;ED0-2;22.2
2014;EE;M;ED3_4;53.5
2014;EE;M;ED5_8;24.3
2014;EE;F;ED0-2;13.3
2014;EE;F;ED3_4;46
2014;EE;F;ED5_8;40.7
2014;IE;M;ED0-2;26.7
2014;IE;M;ED3_4;39.1
2014;IE;M;ED5_8;34.2
2014;IE;F;ED0-2;21.2
2014;IE;F;ED3_4;37.1
2014;IE;F;ED5_8;41.6
2014;EL;M;ED0-2;34.7
2014;EL;M;ED3_4;41.3
2014;EL;M;ED5_8;24
2014;EL;F;ED0-2;31.6
2014;EL;F;ED3_4;43.2
2014;EL;F;ED5_8;25.2
2014;ES;M;ED0-2;46.6
2014;ES;M;ED3_4;23.7
2014;ES;M;ED5_8;29.7
2014;ES;F;ED0-2;42.3
2014;ES;F;ED3_4;24
2014;ES;F;ED5_8;33.6
2014;FR;M;ED0-2;26
2014;FR;M;ED3_4;46.5
2014;FR;M;ED5_8;27.5
2014;FR;F;ED0-2;27
2014;FR;F;ED3_4;41.1
2014;FR;F;ED5_8;32
2014;HR;M;ED0-2;18.6
2014;HR;M;ED3_4;64.8
2014;HR;M;ED5_8;16.5
2014;HR;F;ED0-2;23.4
2014;HR;F;ED3_4;56.2
2014;HR;F;ED5_8;20.5
2014;IT;M;ED0-2;44.2
2014;IT;M;ED3_4;42.8
2014;IT;M;ED5_8;13
2014;IT;F;ED0-2;40.5
2014;IT;F;ED3_4;42.6
2014;IT;F;ED5_8;16.9
2014;CY;M;ED0-2;26.9
2014;CY;M;ED3_4;41.1
2014;CY;M;ED5_8;32.1
2014;CY;F;ED0-2;25.3
2014;CY;F;ED3_4;34.3
2014;CY;F;ED5_8;40.4
2014;LV;M;ED0-2;20
2014;LV;M;ED3_4;60.7
2014;LV;M;ED5_8;19.3
2014;LV;F;ED0-2;12.6
2014;LV;F;ED3_4;53.5
2014;LV;F;ED5_8;33.9
2014;LT;M;ED0-2;16.1
2014;LT;M;ED3_4;58.3
2014;LT;M;ED5_8;25.6
2014;LT;F;ED0-2;12.5
2014;LT;F;ED3_4;50.6
2014;LT;F;ED5_8;36.9
2014;LU;M;ED0-2;23.1
2014;LU;M;ED3_4;35.8
2014;LU;M;ED5_8;41.1
2014;LU;F;ED0-2;26.6
2014;LU;F;ED3_4;35.3
2014;LU;F;ED5_8;38.1
2014;HU;M;ED0-2;20.8
2014;HU;M;ED3_4;61.8
2014;HU;M;ED5_8;17.3
2014;HU;F;ED0-2;23.2
2014;HU;F;ED3_4;53.7
2014;HU;F;ED5_8;23.1
2014;MT;M;ED0-2;52.3
2014;MT;M;ED3_4;29
2014;MT;M;ED5_8;18.7
2014;MT;F;ED0-2;52.1
2014;MT;F;ED3_4;27.7
2014;MT;F;ED5_8;20.1
2014;NL;M;ED0-2;28.5
2014;NL;M;ED3_4;42
2014;NL;M;ED5_8;29.5
2014;NL;F;ED0-2;29.2
2014;NL;F;ED3_4;40.8
2014;NL;F;ED5_8;29.9
2014;AT;M;ED0-2;17.3
2014;AT;M;ED3_4;54.7
2014;AT;M;ED5_8;28.1
2014;AT;F;ED0-2;23.2
2014;AT;F;ED3_4;50.1
2014;AT;F;ED5_8;26.7
2014;PL;M;ED0-2;16.2
2014;PL;M;ED3_4;64.4
2014;PL;M;ED5_8;19.5
2014;PL;F;ED0-2;14.9
2014;PL;F;ED3_4;57
2014;PL;F;ED5_8;28.1
2014;PT;M;ED0-2;60.7
2014;PT;M;ED3_4;23.9
2014;PT;M;ED5_8;15.4
2014;PT;F;ED0-2;52.2
2014;PT;F;ED3_4;24
2014;PT;F;ED5_8;23.7
2014;RO;M;ED0-2;29.1
2014;RO;M;ED3_4;57.3
2014;RO;M;ED5_8;13.5
2014;RO;F;ED0-2;33.3
2014;RO;F;ED3_4;51.9
2014;RO;F;ED5_8;14.8
2014;SI;M;ED0-2;17.4
2014;SI;M;ED3_4;62.2
2014;SI;M;ED5_8;20.4
2014;SI;F;ED0-2;19.5
2014;SI;F;ED3_4;50.5
2014;SI;F;ED5_8;30
2014;SK;M;ED0-2;14.1
2014;SK;M;ED3_4;69.9
2014;SK;M;ED5_8;16
2014;SK;F;ED0-2;16.3
2014;SK;F;ED3_4;63.4
2014;SK;F;ED5_8;20.3
2014;FI;M;ED0-2;22.6
2014;FI;M;ED3_4;48.3
2014;FI;M;ED5_8;29.1
2014;FI;F;ED0-2;17.6
2014;FI;F;ED3_4;42.1
2014;FI;F;ED5_8;40.3
2014;SE;M;ED0-2;23.2
2014;SE;M;ED3_4;49.4
2014;SE;M;ED5_8;27.4
2014;SE;F;ED0-2;21.1
2014;SE;F;ED3_4;40.5
2014;SE;F;ED5_8;38.4
2015;BE;M;ED0-2;30
2015;BE;M;ED3_4;40.6
2015;BE;M;ED5_8;29.4
2015;BE;F;ED0-2;27.3
2015;BE;F;ED3_4;36.8
2015;BE;F;ED5_8;35.9
2015;BG;M;ED0-2;22.9
2015;BG;M;ED3_4;58.4
2015;BG;M;ED5_8;18.7
2015;BG;F;ED0-2;21.5
2015;BG;F;ED3_4;48.9
2015;BG;F;ED5_8;29.6
2015;CZ;M;ED0-2;11
2015;CZ;M;ED3_4;70.5
2015;CZ;M;ED5_8;18.5
2015;CZ;F;ED0-2;13.9
2015;CZ;F;ED3_4;65
2015;CZ;F;ED5_8;21.1
2015;DK;M;ED0-2;29.7
2015;DK;M;ED3_4;44.6
2015;DK;M;ED5_8;25.7
2015;DK;F;ED0-2;26.1
2015;DK;F;ED3_4;39.1
2015;DK;F;ED5_8;34.8
2015;DE;M;ED0-2;18.9
2015;DE;M;ED3_4;54.9
2015;DE;M;ED5_8;26.2
2015;DE;F;ED0-2;20.8
2015;DE;F;ED3_4;57.9
2015;DE;F;ED5_8;21.3
2015;EE;M;ED0-2;20.5
