Year,Country,code,ISCED11,AVG
2007,Slovenia,SI,5-8,18,55
2007,Slovakia,SK,0-2,18,4
2007,Slovakia,SK,3-4,69,7
2007,Slovakia,SK,5-8,11,9
2007,Finland,Fi,0-2,25,35
2007,Finland,Fi,3-4,44,55
2007,Finland,Fi,5-8,30,0
2007,Sweden,SE,0-2,26,55
2007,Sweden,SE,3-4,47,0
2007,Sweden,SE,5-8,26,45
2007,Switzerlan,0-2,21,15
2007,Switzerlan,3-4,52,35
2007,Switzerlan,5-8,26,55
2008,Belgium,BE,0-2,33,55
2008,Belgium,BE,3-4,38,0
2008,Belgium,BE,5-8,28,45
2008,Bulgaria,BG,0-2,28,35
2008,Bulgaria,BG,3-4,52,8
2008,Bulgaria,BG,5-8,18,85
2008,Czechia,CZ,0-2,15,9
2008,Czechia,CZ,3-4,71,75
2008,Czechia,CZ,5-8,12,45
2008,Denmark,DK,0-2,33,25
2008,Denmark,DK,3-4,40,7
2008,Denmark,DK,5-8,26,05
2008,Germany,DE,0-2,22,3
2008,Germany,DE,3-4,56,35
2008,Germany,DE,5-8,21,35
2008,Estonia,EE,0-2,20,45
2008,Estonia,EE,3-4,51,45
2008,Estonia,EE,5-8,28,1
2008,Ireland,IE,0-2,31,8
2008,Ireland,IE,3-4,36,95
2008,Ireland,IE,5-8,31,25
2008,Greece,EL,0-2,39,75
2008,Greece,EL,3-4,40,5
2008,Greece,EL,5-8,19,75
2008,Spain,ES,0-2,49,85
2008,Spain,ES,3-4,23,15
2008,Spain,ES,5-8,27,05
2008,France,FR,0-2,32,95
2008,France,FR,3-4,42,3
2008,France,FR,5-8,24,75
2008,Croatia,HR,0-2,25,9
2008,Croatia,HR,3-4,60,5
2008,Croatia,HR,5-8,13,6
2008,Italy,IT,0-2,47,9
2008,Italy,IT,3-4,39,45
2008,Italy,IT,5-8,12,65
2008,Cyprus,CY,0-2,30,4
2008,Cyprus,CY,3-4,38,65
2008,Cyprus,CY,5-8,31,0
2008,Liatvia,LV,0-2,22,95
2008,Liatvia,LV,3-4,56,55
2008,Liatvia,LV,5-8,20,5
2008,Lithuania,LT,0-2,18,6
2008,Lithuania,LT,3-4,56,25
2008,Lithuania,LT,5-8,25,15
2008,Luxembourg,LU,0-2,36,8
2008,Luxembourg,LU,3-4,39,5
2008,Luxembourg,LU,5-8,23,7
2008,Hungary,HU,0-2,25,7
2008,Hungary,HU,3-4,57,95
2008,Hungary,HU,5-8,16,35
2008,Malta,MT,0-2,65,15
2008,Malta,MT,3-4,22,8
2008,Malta,MT,5-8,12,05
2008,Netherland,0-2,32,8
2008,Netherland,3-4,40,95
2008,Netherland,5-8,26,25
2008,Austria,AT,0-2,24,55
2008,Austria,AT,3-4,60,4
2008,Austria,AT,5-8,15,05
2008,Poland,PL,0-2,19,65
2008,Poland,PL,3-4,63,85
2008,Poland,PL,5-8,16,5
2008,Portugal,PT,0-2,70,8
2008,Portugal,PT,3-4,16,6
2008,Portugal,PT,5-8,12,6
2008,Romania,RO,0-2,30,15
2008,Romania,RO,3-4,59,15
2008,Romania,RO,5-8,10,7
2008,Slovenia,SI,0-2,21,9
2008,Slovenia,SI,3-4,59,05
2008,Slovenia,SI,5-8,19,05
2008,Slovakia,SK,0-2,17,6
2008,Slovakia,SK,3-4,70,05
2008,Slovakia,SK,5-8,12,35
2008,Finland,Fi,0-2,25,15
2008,Finland,Fi,3-4,44,6
2008,Finland,Fi,5-8,30,25
2008,Sweden,SE,0-2,26,15
2008,Sweden,SE,3-4,46,9
2008,Sweden,SE,5-8,26,9
2008,Switzerlan,0-2,20,35
2008,Switzerlan,3-4,51,15
2008,Switzerlan,5-8,28,5
2009,Belgium,BE,0-2,32,4
2009,Belgium,BE,3-4,38,1
2009,Belgium,BE,5-8,29,45
2009,Bulgaria,BG,0-2,27,55
2009,Bulgaria,BG,3-4,53,25
2009,Bulgaria,BG,5-8,19,15
2009,Czechia,CZ,0-2,15,2
2009,Czechia,CZ,3-4,71,45
2009,Czechia,CZ,5-8,13,4
2009,Denmark,DK,0-2,32,4
2009,Denmark,DK,3-4,40,95
2009,Denmark,DK,5-8,26,65
2009,Germany,DE,0-2,22,0
2009,Germany,DE,3-4,55,8
2009,Germany,DE,5-8,22,25
2009,Estonia,EE,0-2,19,3
2009,Estonia,EE,3-4,50,8
2009,Estonia,EE,5-8,29,95
2009,Ireland,IE,0-2,30,65
2009,Ireland,IE,3-4,36,7
2009,Ireland,IE,5-8,32,65
2009,Greece,EL,0-2,39,6
2009,Greece,EL,3-4,40,45
2009,Greece,EL,5-8,19,95
2009,Spain,ES,0-2,49,45
2009,Spain,ES,3-4,23,15
2009,Spain,ES,5-8,27,4
2009,France,FR,0-2,32,35
2009,France,FR,3-4,41,8
2009,France,FR,5-8,25,8
2009,Croatia,HR,0-2,25,35
2009,Croatia,HR,3-4,60,15
2009,Croatia,HR,5-8,14,5
2009,Italy,IT,0-2,47,15
2009,Italy,IT,3-4,40,1
2009,Italy,IT,5-8,12,8
2009,Cyprus,CY,0-2,31,2
2009,Cyprus,CY,3-4,38,35
